rank,company,phone,email,permits_24mo,opener_stat,kit
19,Landmark Pools Inc,(813)792-1331 / (813)917-4764,barto@landmarkpools.com,58,"58 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/19-landmark-pools-inc.md
20,Paradise Pools of Tampa Bay,,paradisepoolstb@yahoo.com,57,"57 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/20-paradise-pools-of-tampa-bay.md
21,A Better Pool & Spa Service LLC,(813)781-8910,,56,"56 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/21-a-better-pool-spa-service-llc.md
22,Hawaiian Island Pools,(727)843-0423,info@hawaiianislandpools.com,48,"48 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/22-hawaiian-island-pools.md
23,Pettit Fiberglass Pools,(727)847-7665 / (727)359-7807,permits@pettitpools.com,48,"48 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/23-pettit-fiberglass-pools.md
24,Coast To Coast Pools,(941)377-5133 / (941)922-8698,dustin@coasttocoastpools.com,45,45 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/24-coast-to-coast-pools.md
25,Hive Outdoor Living LLC,(813)579-2444,,43,"43 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/25-hive-outdoor-living-llc.md
26,J&C Fiberglass Pools Inc,(813)900-9772,corey_moreno@yahoo.com,43,"43 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/26-j-c-fiberglass-pools-inc.md
27,Payne Pool Professionals LLC,(850)375-6349,,43,"43 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/27-payne-pool-professionals-llc.md
28,Tropical Escapes Pool & Spa Construction Inc,(813)474-2024,aqua.designs247@gmail.com,42,42 residential pool permits across Pasco and Hillsborough in the last 24 months,marketing/outreach/28-tropical-escapes-pool-spa-construction-i.md
29,Southern Serenity Pools LLC,,southernserenitypools@gmail.com,40,"40 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/29-southern-serenity-pools-llc.md
30,Splash City Pools LLC,,,39,"39 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/30-splash-city-pools-llc.md
31,Liv Pools,,,37,"37 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/31-liv-pools.md
32,Cool Water Pools & Spas Inc,(727)372-8822,,34,"34 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/32-cool-water-pools-spas-inc.md
33,Integrity Pools,(813)355-6176,andy@integritypools.net,32,32 residential pool permits across Hillsborough in the last 24 months,marketing/outreach/33-integrity-pools.md
34,Sharper Image Pool Service Inc,(813)654-0012,david@sharperimagepools.com,30,"30 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/34-sharper-image-pool-service-inc.md
35,Tilney Pools,(727)724-4242,,29,"29 residential pool permits across Pinellas, Pasco, and Hillsborough in the last 24 months",marketing/outreach/35-tilney-pools.md
36,Dig It Pools LLC,(727)743-4298,randirmartininc@yahoo.com,28,"28 residential pool permits across Pinellas, Pasco, and Hillsborough in the last 24 months",marketing/outreach/36-dig-it-pools-llc.md
37,Grand Vista Pools LLC,,,26,"26 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/37-grand-vista-pools-llc.md
38,Lee Custom Pools,(813)763-0188,leecustompools@gmail.com,25,25 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/38-lee-custom-pools.md
39,Flagstone Pools & Pavers Inc,(727)637-1258 / (813)886-7665,kim@flagstonepools.com,24,"24 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/39-flagstone-pools-pavers-inc.md
40,Pools By Mike Inc,(813)672-0061,alafia1@aol.com,23,23 residential pool permits across Hillsborough in the last 24 months,marketing/outreach/40-pools-by-mike-inc.md
41,Aqua Scape Pools & Spas Inc,,,22,"22 residential pool permits across Pasco, Pinellas, and Hillsborough in the last 24 months",marketing/outreach/41-aqua-scape-pools-spas-inc.md
42,Freestyle Pools & Spas Inc,(813)855-4040,,22,22 residential pool permits across Pinellas and Hillsborough in the last 24 months,marketing/outreach/42-freestyle-pools-spas-inc.md
43,Sunsation Pools & Spas Inc,(727)510-7070 / (727)481-3316,jmbuscema@tampabay.rr.com,22,22 residential pool permits across Pinellas in the last 24 months,marketing/outreach/43-sunsation-pools-spas-inc.md
44,U S Pools,(727)688-7068,,22,22 residential pool permits across Pinellas and Hillsborough in the last 24 months,marketing/outreach/44-u-s-pools.md
45,Lifestyle Pool and Spa,(813)725-2927 / (813)928-4948,alex@lifestylepoolandspa.com,21,21 residential pool permits across Pasco and Hillsborough in the last 24 months,marketing/outreach/45-lifestyle-pool-and-spa.md
46,Jose L Gomez,(813)433-1723,jgomez@gsgcllc.net,19,"19 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/46-jose-l-gomez.md
47,Apollo Pools,(813)689-5197 / (813)468-7665,hotpool@verizon.net,18,18 residential pool permits across Hillsborough in the last 24 months,marketing/outreach/47-apollo-pools.md
48,"Holloway Pools, Inc",(813)926-8234,jholloway1@verizon.net,18,18 residential pool permits across Hillsborough in the last 24 months,marketing/outreach/48-holloway-pools-inc.md
49,"Marquez Builders Group, LLC",(813)693-7406,tampabaygeneralcontractor@gmail.com,18,"18 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/49-marquez-builders-group-llc.md
50,Ryan Hughes Design Inc,,ryan@ryanhughesdesign.com,17,17 residential pool permits across Pinellas and Hillsborough in the last 24 months,marketing/outreach/50-ryan-hughes-design-inc.md
51,Cam Project Management LLC,,campoolprojects@gmail.com,16,"16 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/51-cam-project-management-llc.md
52,Holiday Pools of West Florida Inc,(941)927-1882 / (941)724-1564,permitting@holidaypoolsflorida.com,16,"16 residential pool permits across Hillsborough, Pinellas, and Pasco in the last 24 months",marketing/outreach/52-holiday-pools-of-west-florida-inc.md
53,Oasis Pavers & Pools LLC,(727)686-9418 / (727)686-9181,accounting@oasispaversandpools.com,16,16 residential pool permits across Pinellas and Hillsborough in the last 24 months,marketing/outreach/53-oasis-pavers-pools-llc.md
54,Swim Incorporated,,,16,"16 residential pool permits across Pasco, Pinellas, and Hillsborough in the last 24 months",marketing/outreach/54-swim-incorporated.md
55,"Youtopia Pools, LLC",(727)580-8778 / (313)316-4216,reinacraig2123@gmail.com,15,15 residential pool permits across Pinellas and Hillsborough in the last 24 months,marketing/outreach/55-youtopia-pools-llc.md
56,Blue Haven Pools and Spa- Jacksonville,(813)321-2800 / (850)677-8582,tampapermits@bluehaven.com,14,14 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/56-blue-haven-pools-and-spa-jacksonville.md
57,Landscape Fusion,(813)399-3634,mike@landscape-fusion.com,14,14 residential pool permits across Hillsborough in the last 24 months,marketing/outreach/57-landscape-fusion.md
58,Siteworx Pools Spas and Outdoor Living,(813)404-1722 / (813)419-1089,ryan@siteworxoutdoors.com,14,14 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/58-siteworx-pools-spas-and-outdoor-living.md
59,Dali.Build,(813)852-5001,dali.build@gmail.com,13,13 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/59-dali-build.md
60,Fountain of Youth Pool and Spa,(813)847-8874,ed@fiberglasspoolsinstalled.com,13,"13 residential pool permits across Pasco, Pinellas, and Hillsborough in the last 24 months",marketing/outreach/60-fountain-of-youth-pool-and-spa.md
